"38";"2017-11-29 00:27:36";"bettertoday";"오징어";"squid";"squad";"skuid";"skid";"1";"50.0000";"1"
"39";"2017-11-29 00:28:37";"bettertoday";"~ 때문에";"bekose";"because";"becose";"beecause";"2";"50.0000";"1"
"40";"2017-11-29 00:29:29";"bettertoday";"온도, 기온";"temperature";"tempareture";"tenperature";"tenpareture";"1";"50.0000";"1"
"41";"2017-11-29 22:10:48";"bettertoday";"설계하다";"desine";"design";"dezine";"dezign";"2";"50.0000";"1"
"42";"2017-11-29 22:11:27";"bettertoday";"방향";"dairection";"direktion";"derection";"direction";"4";"50.0000";"1"
"43";"2017-11-29 22:13:19";"bettertoday";"가장, 최고의";"least";"most";"more";"must";"2";"50.0000";"1"
"44";"2017-11-29 22:14:40";"bettertoday";"자라나다, 자라다";"grow";"become";"big";"glow";"1";"50.0000";"1"
"45";"2017-11-29 22:15:39";"bettertoday";"약, 약품";"madison";"medicine";"madicine";"medison";"2";"50.0000";"1"
"46";"2017-11-29 22:16:23";"bettertoday";"계산하다";"calkulate";"calcolate";"calculate";"calculeit";"3";"50.0000";"1"
"47";"2017-11-29 22:17:59";"bettertoday";"건강";"health";"wealth";"stealth";"tilt";"1";"50.0000";"1"
"48";"2017-11-29 22:18:32";"bettertoday";"건축가";"archtact";"architector";"architecture";"architect";"4";"50.0000";"1"
"49";"2017-11-29 22:23:13";"bettertoday";"폭풍";"flood";"rain";"storm";"earthquake";"3";"50.0000";"1"
"50";"2017-11-29 22:23:53";"bettertoday";"어디에나, 모든곳에";"everywhere";"everyone";"anything";"anyhow";"1";"50.0000";"1"
"51";"2017-11-29 22:24:28";"bettertoday";"중요한";"importent";"important";"inportant";"impotant";"2";"50.0000";"1"
"52";"2017-11-29 22:25:23";"bettertoday";"선택하다, 고르다";"look";"search";"find";"choose";"4";"50.0000";"1"
"53";"2017-11-29 22:26:37";"bettertoday";"양(수량)";"amount";"bottom";"sheep";"Miss";"1";"50.0000";"1"
"54";"2017-11-29 22:27:47";"bettertoday";"~와 함께 시작하다, 출발하다";"leave for";"start with";"stop with";"start to";"2";"50.0000";"1"
"55";"2017-11-29 22:28:43";"bettertoday";"경로, 길";"park";"passenger";"path";"pass";"3";"50.0000";"1"
"56";"2017-11-29 22:29:23";"bettertoday";"모으다, 모이다";"gether";"together";"gather";"togather";"3";"50.0000";"1"
"57";"2017-11-29 22:31:39";"bettertoday";"for here의 반대말";"for there";"to go";"for go";"for hire";"2";"50.0000";"1"
"58";"2017-11-29 22:33:23";"bettertoday";"주소";"adress";"addrass";"address";"addres";"3";"50.0000";"1"
"59";"2017-11-29 22:36:13";"bettertoday";"감사하다";"appreciate";"appreciete";"appriceate";"appreciata";"1";"50.0000";"1"
"60";"2017-11-29 22:37:44";"bettertoday";"합창단";"quartet";"orchestra";"singers";"choir";"4";"50.0000";"1"
"61";"2017-11-29 22:39:10";"bettertoday";"확대하다";"enable";"bigger";"more";"enlarge";"4";"50.0000";"1"
"62";"2017-11-29 22:39:57";"bettertoday";"부가적인,, 추가의";"additional";"exceptional";"traditional";"final";"1";"50.0000";"1"
"63";"2017-11-29 22:41:36";"bettertoday";"추가의, 여분의";"half";"addition";"unnecessary";"extra";"4";"50.0000";"1"
"64";"2017-11-29 22:42:20";"bettertoday";"마침내, 결국";"neither";"finally";"for all";"till the end";"2";"50.0000";"1"
"65";"2017-11-29 22:47:51";"bettertoday";"in half an hour";"30분 전에";"30분 안에";"30분 후에";"30분 밖에";"2";"50.0000";"1"
"66";"2017-11-29 22:51:29";"bettertoday";"A와 B 둘다 아니다";"either A or B";"either A nor B";"neither A nor B";"neither A or B";"3";"50.0000";"1"
"67";"2017-11-29 22:52:50";"bettertoday";"운동";"exercise";"excercise";"exercize";"axercise";"1";"50.0000";"1"
"68";"2017-11-29 22:54:54";"bettertoday";"used to + 동사";"~에 적응하다";"~을 하기위해 사용했다";"~하곤 했다";"~을 써버리다";"3";"50.0000";"1"
"69";"2017-11-29 22:56:01";"bettertoday";"냉장고";"rifrigerator";"refrigerater";"rifrigerater";"refrigerator";"4";"50.0000";"1"
"70";"2017-11-29 22:57:03";"bettertoday";"낭비하다, 허비하다";"recycle";"waste";"throw out";"hang out";"2";"50.0000";"1"
"71";"2017-11-29 22:57:49";"bettertoday";"거의";"at the least";"allmost";"almost";"mostly";"3";"50.0000";"1"
